,id,avg_likes_per_orig_tweet,avg_retweets_per_orig_tweet,following_count,followers_count,female_pct_follower,female_pct_friend,twitter,gender,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,new_following_year,followers_year,orig_likes_year,orig_rt_year,follower_to_following_ratio
101,101,1.980769231,1.685714286,222,462,0.489655172,0.339449541,1,female,0,0,1,1,4.8333335,20.275862,45.931034,95.586205,40.161804,34.17931,2.0810812
102,102,2.454545455,2,19,40,0.487179487,0.473684211,1,male,1,0,0,1,2.5833333,11.225806,7.354839,15.4838705,27.554253,22.451612,2.1052632
103,103,2.428571429,1,76,51,0.533333333,0.540540541,1,female,1,0,0,1,5.5,2.5454545,13.818182,9.272727,6.181818,2.5454545,0.67105263
104,104,2.127413127,1.983805668,32,488,0.263636364,0.1875,1,male,0,1,0,1,10.416667,89.088,3.072,46.848,189.52698,176.73328,15.25
105,105,8.667562724,5.548031496,1550,2296,0.67047619,0.638671875,1,female,0,1,0,1,1.75,719.4286,885.7143,1312,6235.6924,3991.4124,1.4812903
106,106,3.125,2.333333333,1081,1573,0.407643312,0.356218905,1,male,1,0,0,1,10.416667,262.944,103.776,151.008,821.7,613.536,1.4551342
107,107,6.659090909,3.8,110,191,0.473076923,0.429530201,1,female,1,0,0,1,0.8333333,72,132,229.2,479.45456,273.6,1.7363636
108,108,2.0625,1.461538462,368,145,0.533834586,0.37150838,1,male,0,1,0,1,10.333333,30.290323,35.612904,14.032258,62.473793,44.270473,0.39402175
109,109,1.666666667,1.434782609,180,117,0.438202247,0.453947368,1,male,0,0,0,,7.1666665,8.093023,25.11628,16.32558,13.488372,11.611729,0.65
110,110,5.028571429,6.698795181,206,540,0.452479339,0.45631068,1,female,0,0,0,,3.8333333,30,53.739132,140.86957,150.85715,200.96385,2.621359
111,111,3.536912752,2.566037736,223,283,0.630597015,0.576190476,1,female,0,1,0,1,3.75,52.8,59.466667,75.46667,186.749,135.48679,1.2690583
112,112,1.910569106,1.597560976,329,256,0.528688525,0.440366972,1,male,1,0,0,1,5.4166665,83.815384,60.73846,47.26154,160.13509,133.90019,0.7781155
113,113,1.682926829,1.545454545,293,322,0.387323944,0.271126761,1,female,1,0,0,1,9.75,19.076923,30.051283,33.025642,32.105064,29.482517,1.0989761
114,114,4,0,359,52,0.6,0.573943662,1,female,0,0,1,1,0.75,1.3333334,478.66666,69.333336,5.3333335,0,0.1448468
115,115,2.75,3.8,240,102,0.240963855,0.286363636,1,male,1,0,0,1,6.4166665,3.4285715,37.402596,15.896104,9.428572,13.028571,0.425
116,116,8.910408432,4.796923077,987,3989,0.467238043,0.55861366,1,male,0,0,1,1,5.4166665,349.2923,182.21538,736.4308,3112.337,1675.5283,4.04154
